state,date,value
Access A Ride,2019-01-01,864139.487622753
Access A Ride,2019-02-01,853606.548224962
Access A Ride,2019-03-01,949831.1191822999
Access A Ride,2019-04-01,922700.860929999
Access A Ride,2019-05-01,910525.053096998
Access A Ride,2019-06-01,879199.742751862
Access A Ride,2019-07-01,877614.308376
Access A Ride,2019-08-01,897371.22626508
Access A Ride,2019-09-01,900628.8146915
Access A Ride,2019-10-01,965410.21911464
Access A Ride,2019-11-01,953587.938792
Access A Ride,2019-12-01,943601.213128
Bridges And Tunnels,2019-01-01,22157286
Bridges And Tunnels,2019-02-01,20878252
Bridges And Tunnels,2019-03-01,24288700
Bridges And Tunnels,2019-04-01,24356913
Bridges And Tunnels,2019-05-01,26036005
Bridges And Tunnels,2019-06-01,23785119
Bridges And Tunnels,2019-07-01,25627525
Bridges And Tunnels,2019-08-01,26148527
Bridges And Tunnels,2019-09-01,23926466
Bridges And Tunnels,2019-10-01,24987438
Bridges And Tunnels,2019-11-01,23034854
Bridges And Tunnels,2019-12-01,23844261
Buses,2019-01-01,54701101
Buses,2019-02-01,53839817
Buses,2019-03-01,60144292
Buses,2019-04-01,58764474
Buses,2019-05-01,62841847
Buses,2019-06-01,57735003
Buses,2019-07-01,56050422
Buses,2019-08-01,58903588
Buses,2019-09-01,60692759
Buses,2019-10-01,65046872
Buses,2019-11-01,60020903
Buses,2019-12-01,56032653
LIRR,2019-01-01,7166693
LIRR,2019-02-01,6544350.5
LIRR,2019-03-01,7515113.2
LIRR,2019-04-01,7724037.6
LIRR,2019-05-01,7974945.46
LIRR,2019-06-01,7736345
LIRR,2019-07-01,7752358
LIRR,2019-08-01,7858108
LIRR,2019-09-01,7227262
LIRR,2019-10-01,8172734
LIRR,2019-11-01,7477649
LIRR,2019-12-01,7582808
Metro North,2019-01-01,6860312
Metro North,2019-02-01,6200044
Metro North,2019-03-01,7098004
Metro North,2019-04-01,7437206
Metro North,2019-05-01,7587279
Metro North,2019-06-01,7369572
Metro North,2019-07-01,7550014
Metro North,2019-08-01,7297197
Metro North,2019-09-01,7164148
Metro North,2019-10-01,7823079
Metro North,2019-11-01,6984562
Metro North,2019-12-01,7222953
Subways,2019-01-01,140288294
Subways,2019-02-01,130465060
Subways,2019-03-01,151384924
Subways,2019-04-01,143284553
Subways,2019-05-01,153470353
Subways,2019-06-01,149360780
Subways,2019-07-01,137447659
Subways,2019-08-01,141721056
Subways,2019-09-01,143012669
Subways,2019-10-01,153344574
Subways,2019-11-01,144357826
Subways,2019-12-01,139097559
